date,id,content,user,place_id,reply_count,like_count,retweet_count,retweeted_tweet
2019-12-07 13:55:53+00:00,1203312173088411649,"If adults are not willing to offer leadership on climate action, children will lead them. Amazing turn up at yesterday's #ClimateStrike in Madrid. #FridaysForFuture 
https://t.co/NPoTXHz3tx",NamugerwaLeah,,12,992,179,
2019-12-07 10:07:38+00:00,1203254733466718208,500’000 people marched in Madrid last night. This is the beginning of change! The world is slowly waking up to the climate and environmental crisis. Soon the people in power can no longer get away with ignoring the science. #cop25 #fridaysforfuture #climatestrike https://t.co/9WVhdbuxDL,GretaThunberg,,1926,75606,14476,
2019-12-06 21:27:33+00:00,1203063450555027456,"500.000 marching now for #climatejustice  #Madrid -for basic right to grow old in a habitable Earth. Leaders at #COP25  #divest end trillions fossil fuel subsidies - we have only 1 Earth 
#climataction 50 years wasted - do not waste another minute
#FridaysForFuture #COPForFuture https://t.co/cxlk0CyT9i",ECOWARRIORSS,,24,729,403,
2019-12-06 20:00:17+00:00,1203041491238686722,"School strike week 68. They say more than 500 000 people showed up tonight in Madrid!
#fridaysforfuture #climatestrike #schoolstrike4climate #cop25 https://t.co/YAxPZt3fOU",GretaThunberg,,670,35983,5848,
2019-12-06 19:26:33+00:00,1203033001925513217,"Breaking! 500.000 are protesting for #climatejustice in #Madrid. Leaders at #COP25, listen to the people, not polluters! Do your job, you have a planet to save 🌍💚 #FridaysForFuture #COPForFuture (photo by Pedro Armestre/@greenpeace_esp) https://t.co/Xc8SbPEzIX",greenpeace_de,,81,4962,1507,
2019-12-06 19:15:37+00:00,1203030248004210695,We’re currently climate striking with an estimated 500k people in Madrid. I have never seen anything like this. So. Much. People. Power! 🌎 #COPForFuture #FridaysForFuture https://t.co/0Fc3hBIcr7,Luisamneubauer,,48,1992,359,
2019-12-06 19:08:52+00:00,1203028551802470401,A beautiful and hopeful end to this #FireDrillFriday — a group of preschoolers just marched through! It’s their future and we will fight for it #ShutDownDC #ClimateStrike #FridaysForFuture https://t.co/sPUyUC1gzO,FireDrillFriday,,29,491,140,
2019-12-06 17:50:24+00:00,1203008804398542849,"Children and young people are calling for urgent #ClimateAction during #COP25.

We must listen to them. It's their right. 

#FridaysForFuture https://t.co/DE9rXrwne5",UNICEF,,11,858,264,
2019-12-06 16:52:14+00:00,1202994168123002883,"Bernie Sanders is standing in solidarity with Iowa Youth Climate Strike, Sunrise Iowa and the millions of climate strikers rallying across the world today. #FridaysForFuture https://t.co/sZx3kgU8md",BNeidhardt,"Place(id='1c67f9d9cbae7f69', fullName='Des Moines, IA', name='Des Moines', type='city', country='United States', countryCode='US')",30,1411,292,
2019-12-06 15:44:37+00:00,1202977151760420864,"Day 29:#SaveCongoRainForest 
Week 5: #FridaysForFuture
Sidmouth, Devon, England Wish I was at #COP25!
@GretaThunberg @NamugerwaLeah @vanessa_vash @e_thunter @_carbontiptoes @NakabuyeHildaF @mulindwa_guy @NolanQ13 @edwinNamakanga @Fridays4future #youthstrike4climate @Strike4Youth https://t.co/b2Jor6absG",ElmGrace,,40,1872,318,
2019-12-06 14:47:59+00:00,1202962896478707712,"Lots of people at the big strike in Stockholm demanding action from out politicians at #COP25 today! 
#FridaysForFuture https://t.co/7iUSBNBGcv",isabelle_ax,,40,3299,530,
2019-12-06 14:16:47+00:00,1202955044343238657,"#FridaysForFuture African activists have today met @GretaThunberg. Fridays for future Uganda is proud of  @the_ecofeminist @NamugerwaLeah and @NakabuyeHildaF for representing Africa.
Keep the fire burning https://t.co/Psx82eFQ52",Fridays4FutureU,,12,1070,173,
2019-12-06 14:15:36+00:00,1202954749265317888,It's week 46 of my #schoolstrike4climate and #schoolstrike4nature. There's less than a week till the #GE2019 and I can't stress this enough: vote for the planet otherwise nothing else matters. #FridaysForFuture @GretaThunberg https://t.co/4UMMasQGM9,HollyWildChild,,93,5092,642,
2019-12-06 13:45:47+00:00,1202947246398029824,"Great spirits in Maynooth today as we reach a milestone in Ireland: 52 weeks on #ClimateStrike #FridaysForFuture. We are not going away.

Next Friday we mark 1 calendar year on strike with community #CarolsforClimate 12.30pm. #GreenSanta @GretaThunberg @FFFireland @MaynoothTT https://t.co/tZVwFdM0GI",gold_lgold,,65,2991,468,
2019-12-06 13:01:41+00:00,1202936147049172993,"School strike for climate continues in Kampala, Uganda.

 I'm happy my colleagues @NamugerwaLeah and @NakabuyeHildaF have met our inspiration @GretaThunberg 
#FridaysForFuture #ClimateStrike #COP25 https://t.co/tuL4dIe5WX",matovu_bob,,13,947,230,
2019-12-06 12:00:08+00:00,1202920655097864192,"NOW IN #STOCKHOLM:  Bad weather does NOT stop us from demanding immediate #ClimateAction ✊🏻 

#FridaysforFuture #ClimateStrike #klimatstrejk @Fridays4future @FFF_Sweden @GretaThunberg https://t.co/PBSX0IyhaJ",eimii_au,"Place(id='d56c5babcffde8ef', fullName='Stockholm, Sweden', name='Stockholm', type='city', country='Sweden', countryCode='SE')",94,5602,957,
2019-12-06 11:32:17+00:00,1202913650203381760,"Today I meet the person behind my motivation @GretaThunberg at #COP25Madrid, she is my inspiration why I keep #ClimateStriking every Friday to protect our future. It was such great honour. #FridaysForFuture @GretaThunberg @Fridays4FutureU https://t.co/ZNa1iClCBR",NakabuyeHildaF,,49,2982,286,
